participantID,videoID,condition,time,bad,C3_mu_suppression,C4_mu_suppression,O1_alpha_suppression,O2_alpha_suppression,Central_suppression,Occipital_suppression,rating,targetRating,ratingChange,ratingChangeCategorical,targetRatingChange,targetRatingChangeCategorical,detectChange
104,53v2,audioOnly,99,,0.400888441,1.921812597,0.980829253,2.122483293,1.161350519,1.551656273,40.83333333,77.58333333,-0.166666667,Decrease,0.016666667,Increase,FALSE
104,53v2,audioOnly,102,,-0.339215723,0.530628251,0.901901994,1.834061849,0.095706264,1.367981922,42,80.25,1.166666667,Increase,2.666666667,Increase,TRUE
104,53v2,audioOnly,105,,-0.301475395,0.15415068,0.389464767,1.140914668,-0.073662357,0.765189718,49,80.91666667,7,Increase,0.666666667,Increase,TRUE
104,53v2,audioOnly,108,,-0.131576358,-0.380772496,-0.196710294,0.908855753,-0.256174427,0.35607273,50.83333333,69.21666667,1.833333333,Increase,-11.7,Decrease,FALSE
104,53v2,audioOnly,111,,-0.461818045,0.125163143,-0.226124179,0.441832752,-0.168327451,0.107854286,51,53.3,0.166666667,Increase,-15.91666667,Decrease,FALSE
104,53v2,audioOnly,114,,-1.032362903,-0.162518929,-1.386294361,-0.204794413,-0.597440916,-0.795544387,51,62.03333333,0,Maintain,8.733333333,Increase,FALSE
104,53v2,audioOnly,117,,-1.400087683,-0.567984038,-0.441832752,0.301475395,-0.98403586,-0.070178679,51,69.45,0,Maintain,7.416666667,Increase,FALSE
104,53v2,audioOnly,120,,-0.070951736,0.587786665,0.693147181,2.297014048,0.258417464,1.495080614,54,76.36666667,3,Increase,6.916666667,Increase,TRUE
104,53v2,audioOnly,123,,0.765786364,-0.356674944,1.368275856,1.567844015,0.20455571,1.468059935,66,78.55,12,Increase,2.183333333,Increase,TRUE
104,53v2,audioOnly,126,,-0.212921997,0.371563556,0.517943092,0.683844788,0.07932078,0.60089394,68.16666667,78.7,2.166666667,Increase,0.15,Increase,TRUE
104,53v2,audioOnly,129,,-0.212921997,-0.143100844,-0.624154309,0.054067221,-0.17801142,-0.285043544,70.33333333,78.65,2.166666667,Increase,-0.05,Decrease,FALSE
104,53v2,audioOnly,132,,-0.283126256,-0.916290732,0.805625164,0.441832752,-0.599708494,0.623728958,73,80.36666667,2.666666667,Increase,1.716666667,Increase,TRUE
104,53v2,audioOnly,135,,-0.440311839,-0.223143551,-0.113328685,-0.076961041,-0.331727695,-0.095144863,73.16666667,82.83333333,0.166666667,Increase,2.466666667,Increase,TRUE
104,53v2,audioOnly,138,,-1.805552791,-0.105360516,1.15643186,1.358123484,-0.955456654,1.257277672,75,86.5,1.833333333,Increase,3.666666667,Increase,TRUE
104,53v2,audioOnly,141,,0.27388875,-0.693147181,0.625429007,1.449095262,-0.209629215,1.037262134,75,86.96666667,0,Maintain,0.466666667,Increase,FALSE
104,53v2,audioOnly,144,,-1.112405611,-0.202524264,0.925769476,1.670498169,-0.657464937,1.298133823,75.83333333,88.85,0.833333333,Increase,1.883333333,Increase,TRUE
104,53v2,audioOnly,147,,-0.247408173,-0.430782916,1.221672381,2.135699344,-0.339095545,1.678685863,79,94.2,3.166666667,Increase,5.35,Increase,TRUE
104,53v2,audioOnly,150,,-0.994622575,-1.049822124,-0.353279355,0.53280453,-1.02222235,0.089762588,80,93.13333333,1,Increase,-1.066666667,Decrease,FALSE
104,53v2,audioOnly,153,,0.410020925,0.182321557,0.872488109,1.750808866,0.296171241,1.311648487,80,91.5,0,Maintain,-1.633333333,Decrease,FALSE
104,53v2,audioOnly,156,,-0.73511138,0.15415068,1.801631218,2.593041092,-0.29048035,2.197336155,82.5,90.11666667,2.5,Increase,-1.383333333,Decrease,FALSE
